sentence1,sentence2,sentence3,sentence4,sentence5
Sven did not like to drink alcohol under any circumstances.,He often excused himself from events that would include alcohol.,"One evening, his girlfriend offered him a small glass of wine.","Sven decided to drink the beverage, hoping he may actually like it.","Unfortunately, the wine was not tasty enough to change Sven's mind."
Maddie went to work today.,"However, she didn't eat for most of the day.",Jen invited her to a party.,She tried to go but ended up passing out while she was there.,Her friend had to take her home.
Heather needed to go back to school shopping for her children.,She doesn't get out of the house much because she doesn't drive.,Heather decided to start looking at online sales.,She found some really good deals shopping online.,Because of the good deals she got her shopping all done.
Andrew was taking his little cousins to ride go karts.,He called them to see if they were ready to be picked up.,They were ready to be picked up.,So Andrew picked them all up and drove them to ride go karts.,They all had fun riding go carts.
The grass in the front yard is dying.,It gets too much sun throughout the day.,We need to plant a tree so that the grass doesn't die.,I think we will look to get a maple tree.,We get in the car and head to get the tree.
Jane was driving home late from work.,It was raining and storming out.,She hit a slick spot and lost control of the car.,Jane couldn't gain control and hit a tree.,She had to get the car towed and replaced.
Dan dreaded doing back to school shopping with his kids.,"However, Dan had to purchase new backpacks and shoes for the kids.",Dan decided to go to the mall to get the school shopping done.,"After looking through several stores, Dan didn't find anything.",Dan was disappointed that he did not find anything at the mall.
Ray had poor vision.,But he didn't change his habits.,He sat at his computer all day.,And he didn't eat food with enough vitamin A.,Ray had to get stronger and stronger glasses every year.
Around and around they went.,The cars seem to go faster on every lap.,"With two more laps to go, the race was still up for grabs.",The cars came around the final turn.,"Across the line they all came, it was a photo finish."
Sally hated her hair.,She complained to her parents she wanted to cut it.,They finally listen to her.,They take her to get her hair fixed at the salon.,Sally loves her new hair.
Kelsi and her sister Quinn were waiting after school.,Their mom was supposed to come and get them.,The girls were waiting for two hours.,No one came.,"By the time they were picked up, it had been three hours."
All the kids went to the pool.,They were having fun splashing around.,But then the one kid went to get out.,But his swimsuit started to fall down.,He got so embarrassed and teased by his friends.
Ben rolled five strikes in a row at the bowling alley.,He felt that his ball was extra lucky that day.,When he threw his sixth strike the ball got stuck.,The workers could not get the back back for Ben.,He has to use a different ball and didn't get a strike.
Benny was playing baseball with his friends.,His friend hit the ball across the field and over a ditch.,Benny ran to get the ball.,He attempted to jump over the ditch.,Benny landed in the ditch and was covered in filth.
After lunch we have recess.,We usually go outside to the playground.,Today it was raining outside.,We weren't allowed to go out to the playground.,Instead we had to play in the gym during recess.
Tina was dragged to a movie.,She really did not want to go.,Yet she felt like she had to.,Her friends would not let her get away.,But she ended up liking the movie after all.
Rosaline didn't like coffee.,"Yet, she always ordered one and didn't drink it.","One day, the waitress asked her why.",Rosaline explained that her dead husband used to love coffee.,"Since then, the waitress brings an extra tea for Rosaline to drink."
Jeff impulsively purchased a new dirt bike.,"He didn't know how to ride it, so he watched videos online.","Feeling that he had sufficient knowledge, he decided to go for a ride.","Within minutes, he crashed the bike into a mound.","Laying in the dirt, he felt foolish for not learning how to ride."
Vince wanted to go to the party on Saturday night.,His parents asked him to clean his room before he can go.,Vince decided not to clean his room at all.,His parents explained that he can't go to the party.,Vince stayed home and cleaned his room on Saturday night.
Last night Stacy tried to get a babysitter.,She needed one for her children.,Laura said she would come and sit.,However unfortunately Laura never came.,She did not come until an hour later.
Johnny loved to listen to rock music.,He would listen to it very loud when he would go jogging.,One day johnny was listening to his favorite song.,He had the volume up as loud as it would go.,Johnny didn't see a truck that hit him and sent him to the hospital.
Mark did not want to go to work today.,"Yesterday, Mark was dumped by his girlfriend.","Mark was heartbroken, because he was going to propose.","Mark attempted to call her, but she would not answer.","Mark felt so sad, because he is now a single man."
Gary liked to climb tall buildings.,He would use suction cups to go up the sides of skyscrapers.,One day he started climbing a very tall building in New York.,The police asked him to stop.,The police then pulled him inside through an open window.
Irene liked to pull pranks on her brother.,"But because she was so clever, she was never caught.","Her brother, who wanted revenge, pulled a prank on her.",He didn't get caught and Irene was caught instead.,So Irene proposed a truce and her brother agreed.
Anna needed to go grocery shopping.,She was almost out of food.,But she had no money to shop with!,She was finally able to get an extra shift at work.,Then she had food money.
Chris went to the library to study.,He pulled out some snacks to eat.,The librarian saw him eating in the library.,She explained to Chris he couldn't eat in the area.,Chris apologized and put the food away.
It was a very long day.,Lily was kind of antsy.,She wanted to get her shots over with.,She had to get it at the doctors.,Lily was kind of irritated.
Suzy wanted to get a tattoo.,She wanted one for years.,Finally she has the guts to get one.,When she got it they messed up.,She was so disappointed.
I decided to go for a hike one day.,I found a trail in the woods which went for many miles.,"I had not been hiking recently, and did not take that into account.","I hiked until I was tired, forgetting I had to walk back.","I had forgotten water too, and struggled all the way home."
Sherry was ready to leave.,She got a taxi to the airport.,She headed inside to get on the plane.,Sherry was told her bags needed to be further inspected.,Someone put a gun in Sherries bag and she missed the flight.
